n_nonice_2020,n_ice_2020,n_ground_2020,n_water_2020,raster
33934167,7670064,111150234,62968752,LSWE_merged_crs26910_S_2020
929332,220034,1891543,2893072,LSWE_merged_crs26910_W_2020
88304400,2417441,62586735,69125515,LSWE_merged_crs26911_2020
