x,y,pts_crs,aoi,naip_id,r,r_max,r_min,r_diff,r_avg,r_entr,g,g_max,g_min,g_diff,g_avg,g_entr,b,b_max,b_min,b_diff,b_avg,b_entr,nir,nir_max,nir_min,nir_diff,nir_avg,nir_entr,ndvi,ndvi_max,ndvi_min,ndvi_diff,ndvi_avg,ndvi_entr,year,month,day_in_year,iceplant
773338.6296164468,3817008.478657111,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,95,98,89,9,93.888885,3.7193758,116,118,116,2,116.44444,2.6370716,91,96,91,5,93.22222,2.6823401,180,181,178,3,179.33333,2.2176905,0.3090909090909091,0.33582088,0.28985506,0.04596582,0.22222222,3.0213904,2020,5,143,1
773333.5473527303,3817009.5795420334,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,89,97,89,8,94.111115,3.7193758,118,122,117,5,119.111115,3.1980166,92,98,92,6,94.55556,3.164208,180,181,178,3,179.66667,1.9604666,0.3382899628252788,0.33828998,0.30215827,0.03613171,0.22222222,3.133291,2020,5,143,1
773343.3818513829,3817008.398190009,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,127,156,108,48,127.77778,4.375222,133,161,118,43,135.33333,4.3491917,109,152,98,54,116.55556,4.418157,168,176,133,43,162.33333,4.112821,0.13898305084745763,0.23943663,-0.07958478,0.3190214,0.11111111,4.1852303,2020,5,143,1
773349.5152987277,3817014.967954385,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,79,82,76,6,79.666664,3.4386272,108,111,103,8,108.0,3.207143,94,97,91,6,93.55556,2.6371663,182,183,181,2,182.11111,2.1644247,0.3946360153256705,0.41312742,0.37878788,0.034339547,0.33333334,2.908694,2020,5,143,1
773339.5857065367,3817028.0761395,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,102,117,97,20,104.333336,4.444188,116,121,116,5,117.77778,3.8504195,102,108,99,9,102.333336,3.5780013,171,175,168,7,171.33333,3.6899016,0.25274725274725274,0.2867647,0.17894737,0.10781734,0.22222222,3.952303,2020,5,143,1
773345.8862247003,3817012.3510780646,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,75,75,69,6,72.77778,3.2162693,105,108,102,6,105.55556,3.0431814,93,93,87,6,91.111115,2.3206084,184,184,183,1,183.77777,1.3141506,0.42084942084942084,0.45238096,0.4208494,0.031531543,0.33333334,2.822824,2020,5,143,1
773352.6409784093,3817016.075564658,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,135,179,90,89,135.11111,4.418157,137,177,117,60,144.11111,4.211261,125,169,99,70,127.333336,4.323161,170,180,155,25,168.44444,4.004364,0.11475409836065574,0.33333334,-0.07185629,0.40518963,0.11111111,4.07333,2020,5,143,1
773336.7250222425,3817023.497500692,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,90,100,88,12,91.888885,3.7454064,111,117,110,7,113.77778,3.4535308,95,98,94,4,95.333336,2.5942314,180,181,178,3,179.44444,2.1226943,0.3333333333333333,0.3457249,0.28057554,0.06514937,0.22222222,3.0128164,2020,5,143,1
773331.0750594933,3817033.207943356,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,119,126,110,16,117.333336,4.090234,124,126,123,3,124.44444,3.483005,105,108,101,7,104.333336,3.4695444,170,172,169,3,170.88889,2.4914572,0.17647058823529413,0.21985815,0.14864865,0.071209505,0.11111111,3.4435139,2020,5,143,1
773320.1778833921,3817047.300092453,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,101,107,96,11,101.666664,4.418157,119,124,117,7,118.888885,2.7967935,98,102,95,7,97.888885,3.4231658,176,179,172,7,175.66667,3.3316133,0.27075812274368233,0.3018182,0.23571429,0.066103905,0.22222222,3.7883413,2020,5,143,1
773324.1508400359,3817045.5129890232,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,95,104,94,10,97.22222,3.8664331,116,117,114,3,115.44444,2.9389644,96,103,96,7,98.111115,3.1811123,176,177,174,3,175.77777,2.7061317,0.2988929889298893,0.30147058,0.25179857,0.049672008,0.22222222,3.1627653,2020,5,143,1
773331.4852264922,3817036.841962599,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,98,115,95,20,102.22222,4.116265,118,123,113,10,118.22222,3.2930129,102,104,97,7,100.77778,3.4435139,175,176,169,7,172.77777,3.4366264,0.28205128205128205,0.29889297,0.19014084,0.10875213,0.22222222,3.6899016,2020,5,143,1
773334.0541967604,3817032.365957548,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,144,164,116,48,142.66667,4.3491917,139,156,128,28,140.77777,4.2541957,119,132,108,24,119.888885,4.375222,169,172,166,6,168.66667,3.1585255,0.07987220447284345,0.19444445,0.012048192,0.18239626,0.0,3.8404026,2020,5,143,1
773361.4797242985,3817005.806282617,EPSG:26910,capitan,ca_m_3412040_ne_10_060_20200522,69,79,67,12,71.55556,3.676441,109,112,102,10,107.44444,3.3155997,91,91,89,2,90.333336,2.4654267,185,186,185,1,185.66667,2.286151,0.4566929133858268,0.46825397,0.40377358,0.064480394,0.33333334,3.250078,2020,5,143,1
