n_nonice_2020,n_ice_2020,n_ground_2020,n_water_2020,raster
34594038,7010193,111150234,62968752,SWE_merged_crs26910_S_2020
1070332,79034,1891543,2893072,SWE_merged_crs26910_W_2020
89100802,1621039,62586735,69125515,SWE_merged_crs26911_2020
