x,y,pts_crs,aoi,naip_id,r,r_max,r_min,r_diff,r_avg,r_entr,g,g_max,g_min,g_diff,g_avg,g_entr,b,b_max,b_min,b_diff,b_avg,b_entr,nir,nir_max,nir_min,nir_diff,nir_avg,nir_entr,ndvi,ndvi_max,ndvi_min,ndvi_diff,ndvi_avg,ndvi_entr,year,month,day_in_year,r_entr5,g_entr5,b_entr5,nir_entr5,ndvi_entr5,r_avg5,g_avg5,b_avg5,nir_avg5,r_contN,r_contE,r_corrN,r_corrE,g_contN,g_contE,g_corrN,g_corrE,b_contN,b_contE,g_corrN.1,b_corrE,nir_contN,nir_contE,nir_corrN,nir_corrE,iceplant,modelAE5
-120.49235643874351,34.4995852977855,EPSG:4326,point_conception,ca_m_3412037_nw_10_060_20200607,114,129,106,23,118.77778,4.116265,107,111,104,7,107.111115,3.52594,82,85,79,6,81.333336,3.4964657,157,166,145,21,155.0,4.444188,0.1586715867158671,0.21771218,0.061818182,0.155894,0.11111111,3.8404026,2020,6,159,4.6425176,4.0557795,3.7328098,4.86549,4.3680167,125.28099,109.05785,84.85124,145.52893,46.74545454545455,59.54545454545454,0.7389657501674418,0.6681571364994563,16.936363636363637,27.1,0.6030087151423732,0.3805521286418551,9.309090909090909,17.709090909090907,0.6030087151423732,0.4311288631807904,40.05454545454546,49.69090909090909,0.838752774347389,0.7774621851756321,0,0.0
-120.49097272813984,34.4990384260523,EPSG:4326,point_conception,ca_m_3412037_nw_10_060_20200607,109,117,98,19,107.888885,3.9783335,82,86,72,14,79.111115,3.952303,65,72,64,8,67.77778,3.2028086,144,149,139,10,143.88889,3.8924637,0.1383399209486166,0.18333334,0.120300755,0.06303258,0.11111111,3.131848,2020,6,159,5.2472143,4.787398,4.5209312,5.0569687,4.2364206,107.31405,89.19835,74.41322,138.28926,151.57272727272726,88.6090909090909,0.741367719167068,0.8402415943545877,79.31818181818181,46.87272727272727,0.6885871947375789,0.7990405290085544,43.627272727272725,25.654545454545453,0.6885871947375789,0.8153714749825218,75.4,29.363636363636363,0.8255353583046894,0.9340170418604882,0,0.0
-120.49002462686612,34.497770427686255,EPSG:4326,point_conception,ca_m_3412037_nw_10_060_20200607,115,124,106,18,115.666664,4.211261,85,97,76,21,84.111115,4.1591997,69,76,66,10,70.22222,3.9228287,149,160,145,15,152.22223,3.909368,0.1287878787878787,0.15537849,0.11278196,0.042596534,0.11111111,2.888346,2020,6,159,5.026225,4.949685,4.40926,4.8811464,3.4003966,107.64463,81.8843,70.818184,140.78513,104.5,37.41818181818182,0.6410660134090527,0.8707088132840145,68.82727272727271,30.76363636363636,0.7612626638496119,0.8870664805373624,21.372727272727275,12.118181818181816,0.7612626638496119,0.8568293057646423,79.27272727272728,25.98181818181818,0.7380008218537418,0.921704059817416,0,0.0
-120.49058530733164,34.49774470254125,EPSG:4326,point_conception,ca_m_3412037_nw_10_060_20200607,117,126,113,13,119.44444,3.9783335,103,108,98,10,103.333336,3.7545328,79,83,71,12,78.888885,3.758867,138,144,137,7,139.66667,3.495575,0.0823529411764705,0.1015625,0.056179777,0.045382723,0.0,3.2886784,2020,6,159,4.782381,4.4659276,3.9953275,4.7528706,3.8740666,112.08264,103.43802,80.71901,138.92561,80.62727272727273,79.18181818181817,0.7794872683617411,0.7826403783372067,43.39090909090908,37.49999999999999,0.7302479716045399,0.7952684920790161,20.745454545454542,20.25454545454545,0.7302479716045399,0.740271742254519,43.14545454545454,32.590909090909086,0.7194671681949012,0.803901478696779,0,0.0
-120.48720045353048,34.49295047409193,EPSG:4326,point_conception,ca_m_3412037_nw_10_060_20200607,125,131,116,15,122.55556,4.280226,95,102,90,12,94.55556,3.909368,79,82,73,9,77.77778,3.771437,155,160,148,12,154.33333,3.758867,0.1071428571428571,0.15328467,0.08070175,0.072582915,0.11111111,3.2886784,2020,6,159,4.9415984,4.931046,4.4466596,4.3465757,3.976741,119.6281,98.52892,79.64463,149.52893,75.02727272727273,90.44545454545454,0.7849228722740041,0.7439683598696888,74.59090909090908,90.2909090909091,0.7858475582798471,0.739785858364322,40.18181818181818,43.309090909090905,0.7858475582798471,0.7801210196002429,26.23636363636364,20.46363636363636,0.7663522989589929,0.8357179765735037,0,0.0
-120.48665014362098,34.49268539463284,EPSG:4326,point_conception,ca_m_3412037_nw_10_060_20200607,105,121,99,22,109.44444,4.116265,91,103,84,19,93.0,3.952303,75,81,63,18,74.0,3.6933453,137,150,126,24,138.44444,3.6300623,0.1322314049586777,0.2016129,0.07279693,0.12881598,0.11111111,3.6729972,2020,6,159,4.8126082,4.680546,4.3329196,4.5415196,4.1193347,110.6281,95.31405,75.76859,133.52066,57.554545454545455,76.30909090909091,0.7764310941841596,0.7203256951548798,44.57272727272728,54.57272727272726,0.7584448444695915,0.7193165542958387,21.25454545454545,30.509090909090908,0.7584448444695915,0.6643105820632035,39.23636363636364,47.66363636363637,0.7129332034632351,0.6730460643988174,0,0.0
-120.48511061122078,34.49345143101409,EPSG:4326,point_conception,ca_m_3412037_nw_10_060_20200607,109,110,89,21,101.888885,4.2971306,87,93,76,17,82.888885,3.758867,68,70,60,10,64.888885,3.9059243,140,149,140,9,142.66667,3.2726648,0.1244979919678714,0.25210086,0.12,0.13210085,0.11111111,4.004364,2020,6,159,5.0237594,4.504008,4.2661476,4.330135,4.5155954,102.35537,85.4876,68.181816,134.04132,119.5,56.77272727272728,0.5495336427114222,0.7844097788464838,42.52727272727272,28.07272727272728,0.5957869846874423,0.7318162847469898,27.881818181818183,18.536363636363635,0.5957869846874423,0.7842051443083594,65.78181818181818,30.545454545454543,0.6709844082458926,0.8640884480535231,0,0.0
-120.48259086275492,34.48977220498985,EPSG:4326,point_conception,ca_m_3412037_nw_10_060_20200607,124,130,115,15,121.77778,3.9783335,109,114,105,9,110.22222,3.4435139,87,94,83,11,87.666664,3.676441,136,147,135,12,141.11111,3.7883413,0.0461538461538461,0.114503816,0.037037037,0.07746678,0.0,3.663871,2020,6,159,4.9967146,4.567444,4.5755305,4.657175,4.194125,122.72727,111.8843,88.89256,142.1405,114.74545454545456,102.4,0.6001975711809402,0.6430883977181334,51.2,57.44545454545455,0.6494502743286414,0.5911198609552205,41.89090909090909,57.16363636363636,0.6494502743286414,0.5434222340312498,40.518181818181816,26.91818181818181,0.766194003165963,0.8389387606774836,0,0.0
-120.48276188286384,34.48950518352599,EPSG:4326,point_conception,ca_m_3412037_nw_10_060_20200607,90,106,84,22,93.77778,3.8833375,84,95,82,13,87.333336,3.9783335,66,75,62,13,67.888885,3.952303,152,154,133,21,147.33333,3.8143718,0.256198347107438,0.29411766,0.15322581,0.14089185,0.22222222,3.771437,2020,6,159,5.1225247,4.8120894,4.8350315,4.770311,4.6775637,100.31405,94.1157,72.983475,142.7438,126.72727272727272,149.13636363636363,0.8218921161620752,0.8133321693453621,50.53636363636363,93.4090909090909,0.8436289086958458,0.7032095188234035,34.3,79.23636363636363,0.8436289086958458,0.7322875060387989,53.74545454545454,61.21818181818182,0.816360022953076,0.789773271936128,0,0.0
-120.48277448127764,34.48907365704673,EPSG:4326,point_conception,ca_m_3412037_nw_10_060_20200607,123,124,110,14,118.0,4.280226,101,108,90,18,97.888885,3.9353986,86,89,72,17,80.55556,4.1422954,145,146,137,9,142.22223,3.728502,0.0820895522388059,0.13043478,0.064638786,0.065795995,0.0,3.7193758,2020,6,159,5.365852,4.8889484,4.8569717,4.4876366,4.528699,100.64463,92.24793,74.53719,134.7934,104.92727272727272,133.5090909090909,0.8688978208441442,0.8173447519254448,49.2,72.46363636363635,0.8558248242052388,0.7792877742127399,43.94545454545455,43.1090909090909,0.8558248242052388,0.8132074961194716,40.71818181818181,49.054545454545455,0.7714465995869316,0.6694519823233649,0,0.0
