x,y,pts_crs,naip_id,aoi,r,g,b,nir,ndvi,year,month,day_in_year,iceplant,r_avg13,r_entr13,g_avg13,g_entr13,b_avg13,b_entr13,nir_avg13,nir_entr13,ndvi_avg13,ndvi_entr13
-120.23265100044384,34.47675728752279,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,98,100,79,165,0.2547528517110266,2020,5,143,0.0,112.95266,5.295454,105.73373,4.76123,92.56805,4.890779,140.21301,5.168989,0.10650887,4.9876842
-120.21820184834787,34.47625893095522,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,130,116,100,159,0.1003460207612456,2020,5,143,0.0,132.76923,4.5130963,119.31953,4.7258563,101.85799,4.6936655,155.97041,4.925601,0.07692308,4.0671735
-120.22094452868204,34.479563773159114,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,114,119,95,140,0.1023622047244094,2020,5,143,0.0,114.15385,4.84294,118.97041,4.424787,95.65089,4.8260884,140.36687,4.7619724,0.10059172,4.335512
-120.23272416928314,34.47679513347414,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,122,99,88,142,0.0757575757575757,2020,5,143,0.0,115.40829,4.604722,98.50296,4.6551466,90.86391,4.3472657,133.3491,5.150777,0.07100592,3.9947612
-120.23273426153682,34.47725012591155,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,129,117,109,121,-0.032,2020,5,143,0.0,118.30177,5.0987673,115.44379,4.7625465,100.69231,4.791085,135.35503,4.9164367,0.06508876,4.477593
-120.2336170934306,34.476078327867455,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,102,96,72,170,0.25,2020,5,143,0.0,117.69823,5.2093005,103.11834,4.4649115,85.74556,4.706903,157.21893,4.8298507,0.14201184,4.432741
-120.20230557345836,34.473819467299926,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,137,136,129,154,0.0584192439862542,2020,5,143,0.0,133.95857,5.9069014,133.0651,5.9670496,131.7574,5.8518324,146.48521,5.4957123,0.07100592,4.9066463
-120.18778429656312,34.4747124950835,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,156,138,116,170,0.0429447852760736,2020,5,143,0.0,138.59763,5.2007656,130.83432,4.5104938,108.29586,4.532996,168.14793,4.759511,0.09467456,3.958344
-120.24229085346724,34.473520665450195,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,125,107,96,152,0.0974729241877256,2020,5,143,0.0,130.26627,5.248438,120.23669,5.162655,106.56213,5.0601435,141.08876,5.22289,0.041420117,4.8042793
-120.18591964579774,34.47476536658093,EPSG:4326,ca_m_3412039_nw_10_060_20200522,gaviota,112,115,100,136,0.0967741935483871,2020,5,143,0.0,114.82249,5.2766423,116.02959,4.731857,104.31953,4.85894,137.37279,5.2522626,0.088757396,4.7354164
