,itemid,processed,reason,process_time
0,ca_m_3412028_sw_10_1_20120519_20120730,Y,processed,29.92188262939453
1,ca_m_3412028_se_10_1_20120519_20120730,Y,processed,22.6818950176239
2,ca_m_3412028_nw_10_1_20120519_20120730,Y,processed,29.34403920173645
3,ca_m_3412028_ne_10_1_20120519_20120730,Y,processed,11.121785402297974
4,ca_m_3412027_se_10_1_20120519_20120730,Y,processed,21.646081924438477
5,ca_m_3412027_ne_10_1_20120519_20120730,Y,processed,43.191871643066406
6,ca_m_3412020_sw_10_1_20120519_20120730,Y,processed,36.48021149635315
7,ca_m_3412020_nw_10_1_20120519_20120730,Y,processed,31.053783416748047
8,ca_m_3412019_se_10_1_20120519_20120730,Y,processed,14.96146273612976
9,ca_m_3412019_ne_10_1_20120519_20120730,Y,processed,10.315199136734009
10,ca_m_3412012_sw_10_1_20120519_20120730,Y,processed,19.768971920013428
11,ca_m_3412012_nw_10_1_20120519_20120730,Y,processed,29.778711795806885
12,ca_m_3412011_se_10_1_20120519_20120730,Y,processed,12.999763488769531
13,ca_m_3412011_ne_10_1_20120519_20120730,Y,processed,10.630696058273315
14,ca_m_3412004_sw_10_1_20120519_20120730,Y,processed,16.40777015686035
15,ca_m_3412003_se_10_1_20120519_20120730,Y,processed,37.11470580101013
16,ca_m_3412003_ne_10_1_20120519_20120730,Y,processed,19.51189613342285
17,ca_m_3412040_nw_10_1_20120518_20120730,Y,processed,25.6787428855896
18,ca_m_3412040_ne_10_1_20120518_20120730,Y,processed,26.680991888046265
19,ca_m_3412039_nw_10_1_20120518_20120730,Y,processed,25.88257098197937
20,ca_m_3412039_ne_10_1_20120518_20120730,Y,processed,27.447874307632446
21,ca_m_3412038_nw_10_1_20120518_20120730,Y,processed,26.80975866317749
22,ca_m_3412038_ne_10_1_20120518_20120730,Y,processed,24.73660159111023
23,ca_m_3412037_nw_10_1_20120518_20120730,Y,processed,39.75651431083679
24,ca_m_3412037_ne_10_1_20120518_20120730,Y,processed,18.39705467224121
25,ca_m_3412029_sw_10_1_20120518_20120730,Y,processed,22.04080057144165
26,ca_m_3411945_nw_11_1_20120505_20120730,Y,processed,10.68999719619751
27,ca_m_3411937_sw_11_1_20120505_20120730,Y,processed,24.693219900131226
28,ca_m_3411936_sw_11_1_20120505_20120730,Y,processed,33.70880651473999
29,ca_m_3411936_se_11_1_20120505_20120730,Y,processed,29.53228759765625
30,ca_m_3411935_sw_11_1_20120505_20120730,Y,processed,31.746113538742065
31,ca_m_3411935_se_11_1_20120505_20120730,Y,processed,27.310068130493164
32,ca_m_3411934_sw_11_1_20120505_20120730,Y,processed,34.475745677948
33,ca_m_3411934_se_11_1_20120505_20120730,Y,processed,40.48021388053894
34,ca_m_3411933_sw_11_1_20120505_20120730,Y,processed,22.272882223129272
35,ca_m_3411933_se_11_1_20120505_20120730,Y,processed,30.841612815856934
36,ca_m_3411933_nw_11_1_20120505_20120730,Y,processed,35.2654926776886
37,ca_m_3411933_ne_11_1_20120505_20120730,Y,processed,24.099730491638184
