itemid,processed,reason,pre_times,class_times,post_times,n_pixels
ca_m_3412037_nw_10_060_20180913_20190208,Y,processed,22.495239973068237,29.1474187374115,7.507928133010864,11185051
ca_m_3412029_sw_10_060_20180913_20190209,Y,processed,6.240420341491699,9.951113224029541,0.9218451976776123,1193548
ca_m_3412004_sw_10_060_20180913_20190208,Y,processed,4.3662378787994385,0.8928568363189697,0.2567014694213867,871
ca_m_3412003_se_10_060_20180913_20190208,Y,processed,17.90743112564087,15.558805704116821,6.400396108627319,5752388
ca_m_3412003_ne_10_060_20180913_20190208,Y,processed,10.490357160568237,11.921047449111938,2.9129488468170166,2655099
ca_m_3412039_nw_10_060_20180724_20190209,Y,processed,10.314475059509277,17.615991353988647,2.8461287021636963,5250463
ca_m_3412038_nw_10_060_20180724_20190209,Y,processed,11.678892135620117,13.508246421813965,3.3365705013275146,2654853
ca_m_3412038_ne_10_060_20180724_20190208,Y,processed,10.540084838867188,13.610573530197144,2.9594008922576904,2331005
ca_m_3412037_ne_10_060_20180724_20190208,Y,processed,10.934909105300903,12.720830917358398,3.0452256202697754,2284071
ca_m_3412012_nw_10_060_20180724_20190208,Y,processed,9.22848653793335,1.1483910083770752,2.3398475646972656,26490
ca_m_3411945_nw_11_060_20180724_20190209,Y,processed,5.08465051651001,3.810741662979126,0.6627583503723145,307723
ca_m_3411937_sw_11_060_20180724_20190208,Y,processed,7.495180130004883,17.914472103118896,1.6367425918579102,5924858
ca_m_3411936_sw_11_060_20180724_20190209,Y,processed,12.575464963912964,33.07384490966797,3.4663047790527344,12004730
ca_m_3411936_se_11_060_20180724_20190209,Y,processed,16.894779205322266,23.513880014419556,5.607064723968506,9795466
ca_m_3411935_sw_11_060_20180724_20190209,Y,processed,13.68750262260437,23.111634969711304,4.171854257583618,9442434
ca_m_3411935_se_11_060_20180724_20190209,Y,processed,12.940559148788452,21.62173819541931,3.7982704639434814,8947090
ca_m_3412040_nw_10_060_20180722_20190209,Y,processed,18.079303741455078,22.09925866127014,4.200558662414551,11027362
ca_m_3412039_ne_10_060_20180722_20190209,Y,processed,10.887940406799316,19.048179864883423,3.045726776123047,7700771
ca_m_3411934_sw_11_060_20180722_20190209,Y,processed,12.620270013809204,20.727052688598633,3.6291050910949707,8288500
ca_m_3411934_se_11_060_20180722_20190209,Y,processed,13.418569803237915,30.853776216506958,3.9447691440582275,12202676
ca_m_3411933_sw_11_060_20180722_20190208,Y,processed,6.3238420486450195,12.076264142990112,1.1137423515319824,2534486
ca_m_3411933_se_11_060_20180722_20190208,Y,processed,14.892625093460083,23.311330556869507,4.642157793045044,10501755
ca_m_3411933_nw_11_060_20180722_20190208,Y,processed,13.598628759384155,30.38611149787903,3.948967695236206,12264033
ca_m_3411933_ne_11_060_20180722_20190208,Y,processed,5.372809410095215,12.633267164230347,0.630157470703125,2716889
ca_m_3412040_ne_10_060_20180715_20190209,Y,processed,12.280407667160034,17.78917407989502,3.4397761821746826,6694302
