itemid,processed,reason,pre_times,class_times,post_times,n_pixels
ca_m_3412037_nw_10_060_20180913_20190208,Y,processed,6.245007276535034,55.90666937828064,9.190859079360962,11185051
ca_m_3412029_sw_10_060_20180913_20190209,Y,processed,0.8648319244384766,13.901202917098999,1.0988645553588867,1193548
ca_m_3412004_sw_10_060_20180913_20190208,Y,processed,0.14105772972106934,2.9294073581695557,0.27707815170288086,871
ca_m_3412003_se_10_060_20180913_20190208,Y,processed,4.6258134841918945,32.997167348861694,7.3918163776397705,5752388
ca_m_3412003_ne_10_060_20180913_20190208,Y,processed,3.072421073913574,24.56239676475525,3.3827316761016846,2655099
ca_m_3412039_nw_10_060_20180724_20190209,Y,processed,3.7491796016693115,30.910172700881958,3.585594415664673,5250463
ca_m_3412038_nw_10_060_20180724_20190209,Y,processed,3.6206765174865723,20.72661018371582,4.088512897491455,2654853
ca_m_3412038_ne_10_060_20180724_20190208,Y,processed,3.460761785507202,21.622926712036133,3.7651660442352295,2331005
ca_m_3412037_ne_10_060_20180724_20190208,Y,processed,3.4360971450805664,24.10566282272339,3.64937162399292,2284071
ca_m_3412012_nw_10_060_20180724_20190208,Y,processed,0.2699851989746094,2.918617010116577,2.4934561252593994,26490
ca_m_3411945_nw_11_060_20180724_20190209,Y,processed,0.6098957061767578,7.224705457687378,0.8242628574371338,307723
ca_m_3411937_sw_11_060_20180724_20190208,Y,processed,2.1086952686309814,37.207597970962524,2.1266744136810303,5924858
ca_m_3411936_sw_11_060_20180724_20190209,Y,processed,4.014190673828125,56.78929591178894,4.479637861251831,12004730
ca_m_3411936_se_11_060_20180724_20190209,Y,processed,4.676300764083862,48.08539175987244,6.509375095367432,9795466
ca_m_3411935_sw_11_060_20180724_20190209,Y,processed,4.283302307128906,43.276920318603516,5.113052606582642,9442434
ca_m_3411935_se_11_060_20180724_20190209,Y,processed,3.9912922382354736,42.04306697845459,4.636965751647949,8947090
ca_m_3412040_nw_10_060_20180722_20190209,Y,processed,4.614133596420288,47.19029641151428,4.877259254455566,11027362
ca_m_3412039_ne_10_060_20180722_20190209,Y,processed,3.6516361236572266,36.088762044906616,3.697014093399048,7700771
ca_m_3411934_sw_11_060_20180722_20190209,Y,processed,3.780897617340088,40.12507677078247,4.387481927871704,8288500
ca_m_3411934_se_11_060_20180722_20190209,Y,processed,3.780029535293579,52.48962330818176,4.871475458145142,12202676
ca_m_3411933_sw_11_060_20180722_20190208,Y,processed,1.015259027481079,19.42742085456848,1.46122145652771,2534486
ca_m_3411933_se_11_060_20180722_20190208,Y,processed,3.8087799549102783,47.751079082489014,5.4883363246917725,10501755
ca_m_3411933_nw_11_060_20180722_20190208,Y,processed,3.5895519256591797,51.53413963317871,4.82982611656189,12264033
ca_m_3411933_ne_11_060_20180722_20190208,Y,processed,1.004274845123291,19.98623561859131,0.7794089317321777,2716889
ca_m_3412040_ne_10_060_20180715_20190209,Y,processed,3.683534622192383,35.18467473983765,4.179895401000977,6694302
