,itemid,processed,reason,process_time
0,ca_m_3412037_nw_10_060_20200607,Y,processed,79.16330742835999
1,ca_m_3412037_ne_10_060_20200607,Y,processed,47.64914083480835
2,ca_m_3412029_sw_10_060_20200607,Y,processed,29.080284118652344
3,ca_m_3412004_sw_10_060_20200607,N,no data in intersection,0.0
4,ca_m_3412003_se_10_060_20200607,N,no vegeatation in intersection,0.0
5,ca_m_3412003_ne_10_060_20200607,Y,processed,32.63902282714844
6,ca_m_3412038_nw_10_060_20200523,Y,processed,52.933165073394775
7,ca_m_3412040_nw_10_060_20200522,Y,processed,54.49207949638367
8,ca_m_3412040_ne_10_060_20200522,Y,processed,57.316280364990234
9,ca_m_3412039_nw_10_060_20200522,Y,processed,55.73946785926819
10,ca_m_3412039_ne_10_060_20200522,Y,processed,53.87691879272461
11,ca_m_3412038_ne_10_060_20200522,Y,processed,49.7188663482666
12,ca_m_3411933_nw_11_060_20200522,Y,processed,79.89646291732788
13,ca_m_3411933_ne_11_060_20200522,Y,processed,44.70029640197754
14,ca_m_3411945_nw_11_060_20200521,Y,processed,27.496371030807495
15,ca_m_3411937_sw_11_060_20200521,Y,processed,53.43391180038452
16,ca_m_3411936_sw_11_060_20200521,Y,processed,70.39671969413757
17,ca_m_3411936_se_11_060_20200521,Y,processed,68.98354363441467
18,ca_m_3411935_sw_11_060_20200521,Y,processed,65.06972312927246
19,ca_m_3411935_se_11_060_20200521,Y,processed,59.187554359436035
20,ca_m_3411934_sw_11_060_20200521,Y,processed,67.38178586959839
21,ca_m_3411934_se_11_060_20200521,Y,processed,73.08118653297424
22,ca_m_3411933_sw_11_060_20200521,Y,processed,36.72748374938965
23,ca_m_3411933_se_11_060_20200521,Y,processed,71.44260859489441
