itemid,processed,reason,pre_times,class_times,post_times,n_pixels
ca_m_3412004_sw_10_.6_20160807_20161004,N,no data in intersection,0.0,0.0,0.0,0
ca_m_3412003_ne_10_.6_20160807_20161004,Y,processed,0.7235310077667236,375.04201006889343,2.351266860961914,1056065
ca_m_3412040_nw_10_.6_20160723_20161004,Y,processed,3.0939085483551025,27.6329185962677,3.661888360977173,3521563
ca_m_3412040_ne_10_.6_20160723_20161004,Y,processed,3.116710901260376,31.410231590270996,3.5824193954467773,4674607
ca_m_3411945_nw_11_.6_20160713_20161004,Y,processed,0.7720913887023926,10.428703546524048,0.8906228542327881,242921
ca_m_3411937_sw_11_.6_20160713_20161004,Y,processed,1.8026940822601318,33.83971810340881,1.8529119491577148,4782563
ca_m_3411936_sw_11_.6_20160713_20161004,Y,processed,3.533029079437256,55.483410596847534,3.964625120162964,10581800
ca_m_3411936_se_11_.6_20160713_20161004,Y,processed,3.5336270332336426,44.855427742004395,5.932643890380859,7449380
ca_m_3411935_sw_11_.6_20160713_20161004,Y,processed,3.835916519165039,52.46417427062988,4.676301717758179,10915631
ca_m_3411935_se_11_.6_20160713_20161004,Y,processed,3.5287094116210938,45.47785544395447,4.368154525756836,8680168
ca_m_3411934_sw_11_.6_20160713_20161004,Y,processed,3.222595453262329,53.37262296676636,3.9889116287231445,10988666
ca_m_3411934_se_11_.6_20160713_20161004,Y,processed,3.1952834129333496,71.10617995262146,4.54775857925415,14889737
ca_m_3411933_sw_11_.6_20160713_20161004,Y,processed,0.8156323432922363,18.778715133666992,1.171834945678711,2275244
ca_m_3411933_se_11_.6_20160713_20161004,Y,processed,2.8218750953674316,57.74058270454407,4.955361366271973,12472844
ca_m_3411933_nw_11_.6_20160713_20161004,Y,processed,2.846576690673828,50.62843203544617,4.217079401016235,11200893
ca_m_3411933_ne_11_.6_20160713_20161004,Y,processed,0.9361720085144043,24.813616514205933,0.7492129802703857,4024676
ca_m_3412039_nw_10_.6_20160616_20161004,Y,processed,2.940612316131592,25.215004682540894,3.004826545715332,4246135
ca_m_3412039_ne_10_.6_20160616_20161004,Y,processed,2.991450548171997,33.28436207771301,3.038597822189331,5254710
ca_m_3412038_ne_10_.6_20160616_20161004,Y,processed,0.5219302177429199,6.281570672988892,2.201122760772705,252695
