itemid,processed,reason,pre_times,class_times,post_times,n_pixels
ca_m_3412004_sw_10_.6_20160807_20161004,N,no data in intersection,0.0,0.0,0.0,0
ca_m_3412003_ne_10_.6_20160807_20161004,Y,processed,8.93483853340149,11.06368112564087,2.3370609283447266,1056065
ca_m_3412040_nw_10_.6_20160723_20161004,Y,processed,11.535248041152954,18.37622046470642,3.492225408554077,3521563
ca_m_3412040_ne_10_.6_20160723_20161004,Y,processed,11.550806283950806,19.56090497970581,3.3859076499938965,4674607
ca_m_3411945_nw_11_.6_20160713_20161004,Y,processed,5.2176878452301025,7.368838310241699,0.846602201461792,242921
ca_m_3411937_sw_11_.6_20160713_20161004,Y,processed,7.823530197143555,16.051503658294678,1.7352256774902344,4782563
ca_m_3411936_sw_11_.6_20160713_20161004,Y,processed,12.964349031448364,26.762760162353516,3.714582681655884,10581800
ca_m_3411936_se_11_.6_20160713_20161004,Y,processed,16.587157249450684,20.109111309051514,5.602025270462036,7449380
ca_m_3411935_sw_11_.6_20160713_20161004,Y,processed,14.492761135101318,24.84548783302307,4.542013168334961,10915631
ca_m_3411935_se_11_.6_20160713_20161004,Y,processed,13.58196759223938,21.305438995361328,4.020432710647583,8680168
ca_m_3411934_sw_11_.6_20160713_20161004,Y,processed,12.848491907119751,25.03709077835083,3.7732808589935303,10988666
ca_m_3411934_se_11_.6_20160713_20161004,Y,processed,13.843878507614136,35.22263860702515,4.190338611602783,14889737
ca_m_3411933_sw_11_.6_20160713_20161004,Y,processed,6.0058910846710205,11.28764009475708,1.1570429801940918,2275244
ca_m_3411933_se_11_.6_20160713_20161004,Y,processed,15.06341290473938,33.64475440979004,4.775773286819458,12472844
ca_m_3411933_nw_11_.6_20160713_20161004,Y,processed,13.445502519607544,24.33706498146057,4.012592315673828,11200893
ca_m_3411933_ne_11_.6_20160713_20161004,Y,processed,5.426873207092285,13.606574773788452,0.6855487823486328,4024676
ca_m_3412039_nw_10_.6_20160616_20161004,Y,processed,10.375979900360107,15.013370990753174,2.7409725189208984,4246135
ca_m_3412039_ne_10_.6_20160616_20161004,Y,processed,10.406124353408813,16.1374671459198,2.891845464706421,5254710
ca_m_3412038_ne_10_.6_20160616_20161004,Y,processed,8.626161098480225,3.8359158039093018,2.130814790725708,252695
