n_nonice_2020,n_ice_2020,n_ground_2020,n_water_2020,raster
32334429,9319051,111150412,62968690,LS_merged_crs26910_S_2020
887994,264213,1891593,2893071,LS_merged_crs26910_W_2020
87881212,2912345,62587031,69125241,LS_merged_crs26911_2020
